zone_name,district,variable,month,value
6. Hill Tract Zone (Elevated Terrain),Bandarban,wet_bulb,10,25.816943846011284
6. Hill Tract Zone (Elevated Terrain),Bandarban,wet_bulb,11,22.45510932637187
6. Hill Tract Zone (Elevated Terrain),Bandarban,wet_bulb,12,18.838543393234637
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,1,17.632627871776428
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,2,19.454935861536484
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,3,23.221472659695436
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,4,26.81053321092228
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,5,27.246619909602263
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,6,27.593480134069324
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,7,27.434921525174477
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,8,27.2036445416094
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,9,27.456190268835062
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,10,26.552488936067345
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,11,23.445855856982572
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_shade,12,19.81137729709122
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,1,18.671354465329443
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,2,20.587935716943775
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,3,24.515827943933232
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,4,28.133115760412277
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,5,28.49285682173422
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,6,28.48840549319572
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,7,28.269700384015753
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,8,28.03039826098435
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,9,28.37441948208075
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,10,27.492687217096865
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,11,24.394745799079143
6. Hill Tract Zone (Elevated Terrain),Bandarban,wbgt_sun,12,20.702451190866206
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,1,3.124617771098911e-07
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,2,1.5385859576738416e-06
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,3,4.5353998627607844e-05
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,4,0.013692885248412064
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,5,0.029735911447313298
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,6,0.04173220958577691
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,7,0.030621363056368044
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,8,0.01772752799314006
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,9,0.03194439523352998
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,10,0.0058218869742580875
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,11,4.953691017310288e-05
6. Hill Tract Zone (Elevated Terrain),Bandarban,heatstroke_hazard,12,1.5257127509335581e-06
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,1,1.9960752497088734
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,2,4.3523523734509055
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,3,8.154801477805645
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,4,11.41529055066201
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,5,11.2736390607472
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,6,10.96197049265863
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,7,10.754341776069825
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,8,10.222381279182137
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,9,10.726665175448666
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,10,10.154127953757094
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,11,7.735677566588276
6. Hill Tract Zone (Elevated Terrain),Bandarban,cdd,12,4.425230322527376
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,1,19.78489855570181
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,2,22.219141012231123
