district,variable,kind,n_months,val_R2,val_RMSE,val_MAE,val_acc_0.5,val_acc_1.0,val_acc_2.0,val_acc_3.0,val_acc_5.0,val_acc_10.0,val_acc_20.0,val_acc_30.0,val_acc_50.0,val_acc_1.5,zone
Joypurhat,wbgt_shade,index,11,0.982936597789709,0.5368603827819403,0.43410376047990434,0.7272727272727273,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Joypurhat,wbgt_sun,index,11,0.9793380272794711,0.5854813334191444,0.4801003506848622,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Joypurhat,cdd,index,11,0.9783252215030704,0.5597146189318306,0.4208194264270272,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Khagrachhari,heat_index,index,11,0.9507337814819371,1.100295361406698,0.9413870464916004,0.2727272727272727,0.6363636363636364,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Khagrachhari,wet_bulb,index,11,0.9698416158485943,0.5423308230136,0.4422100271497339,0.5454545454545454,1.0,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Khagrachhari,wbgt_shade,index,11,0.9678086722219736,0.5394986292250603,0.4525536761434575,0.5454545454545454,1.0,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Khagrachhari,wbgt_sun,index,11,0.9646862960087761,0.5577392574548523,0.4902147558459036,0.36363636363636365,1.0,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Khagrachhari,cdd,index,11,0.9505427476662024,0.6243176270841886,0.549979050304869,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,6. Hill Tract Zone (Elevated Terrain)
Khulna,heat_index,index,11,0.9500346734695172,1.441609178424912,1.1808155785225538,0.18181818181818182,0.45454545454545453,0.7272727272727273,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Khulna,wet_bulb,index,11,0.9775308658516613,0.5286037461348887,0.4178518894222281,0.8181818181818182,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Khulna,wbgt_shade,index,11,0.9717449812158019,0.58092405050358,0.4651025495239235,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Khulna,wbgt_sun,index,11,0.966116289126333,0.6314737379081908,0.5073464636517154,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Khulna,cdd,index,11,0.9495269433448882,0.7280187087698117,0.6273829218913088,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Kishoreganj,heat_index,index,11,0.9438038589894024,1.3083723720787634,1.1320413031209084,0.18181818181818182,0.5454545454545454,0.9090909090909091,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Kishoreganj,wet_bulb,index,11,0.9559002536495728,0.7353692050745645,0.6763891004431056,0.36363636363636365,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Kishoreganj,wbgt_shade,index,11,0.9597566938694677,0.6717524095602347,0.589410992611109,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Kishoreganj,wbgt_sun,index,11,0.9583008731414797,0.6738124416202697,0.589729799734318,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Kishoreganj,cdd,index,11,0.9445720843425625,0.7356571153458615,0.6123309169908818,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Kurigram,heat_index,index,11,0.9556378009739851,1.4149332485453041,1.1292246328679878,0.18181818181818182,0.6363636363636364,0.8181818181818182,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Kurigram,wet_bulb,index,11,0.97065492176973,0.6585410434469428,0.518840691055074,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
